item	filename	source_url	bytes	sha256
Iron Shortsword	Iron_Shortsword.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/92249927-090d-4f6d-978b-943f688c6776.png	1314861	98d4cb87c12f88f9bde903c426314103a2ca9e0672ad1259ea51ebc86a5f737f
Steel Greatsword	Steel_Greatsword.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/72849ae4-1126-45bb-80d3-808dc2fc17b6.png	1237935	3413b772ccfdc13a73788cee28a765d924db57b1b40b29d65d4ff5a684cde43a
Rusty Dagger	Rusty_Dagger.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/1d3dfe54-8c07-46bf-aee4-ca26f6f96458.png	1192390	f5195f9676649ea63d11eff7c75e28a09fb7a748259dc2ef052b07afd4031c34
Hunting Bow	Hunting_Bow.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/8771cb6e-5ea2-4ba8-9be4-80a914ecba87.png	1119371	d54c55aa6d42e8935eef0bc92f361108d5ecfdbff5c32bc5aed80c11a30f4c9c
Plain Kunai	Plain_Kunai.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/ec6a275c-557e-42bb-a836-a598fcb205c6.png	1387086	b59fd926e5ff8afb46cfd93132c657751d9f655a824504c33210bbc0e862489d
Oak Staff	Oak_Staff.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/25ca5ec0-4752-4b14-b46c-b95ed5f2a8a7.png	1366274	1470108d451cc2c40b70136e09b5458607218db0f4eb447460c06a752613a7ae
Apprentice's Wand	Apprentices_Wand.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/bef7164d-abfd-46a7-aeb0-205c1bcf04a9.png	1162768	73f553cd7a2b61c74d648e18f27f87949dee17541ef0d70d30776a795952cd62
Wooden Buckler	Wooden_Buckler.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/78f247c8-0c25-4083-a487-a984e1fc4cc6.png	1413228	b9db1c2ce175ce5f482cc0cde4ae8a51ae5c8ecbcd8328c259ee2e7bacf5ede0
Katana	Katana.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/989aa80e-528d-4f8e-978f-b8ac6f4ec13f.png	1147051	533daa6e7d2376c791a5b858b4a5719be9970671c51247b47de2f63e70e3d6b6
Leather Cap	Leather_Cap.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/0acff2e0-fc36-4698-8d81-d3fa47af6f8b.png	1322794	3fdd80031886d9c875729bcf01bfcb401e1f879bc06c4e39211023ea60039930
Leather Vest	Leather_Vest.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/79aac497-bcd6-48d5-82db-087b63ea9406.png	1633393	5273941355c0a02febc1df923b47a4ed074b79acdd7fb25faa0e0ae6497935af
Leather Leggings	Leather_Leggings.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/860f8612-6b4d-444c-88c2-9cb8d3d56eaf.png	1212272	c98117769d00dd74d4424b89e9b6c08536c416fb8eac4b395affb5167d49929e
Leather Boots	Leather_Boots.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/22ad8188-0392-4e2a-aa78-76681e95d796.png	1438663	b996658f44a6c2b807bcc92f5067f6386dc329a009a669a21883f4d7922f0ed5
Leather Gloves	Leather_Gloves.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/235b4126-5ac1-4eb2-ba82-a408af1fc19e.png	1380802	a05e121c2d77e40da5613438ff1ab778d69dd926c2f0d7e588109f88e710ef71
Apprentice Robe	Apprentice_Robe.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/caa8f9ae-1c02-4d5a-aa0c-cf3d191180c4.png	1636992	1b511ae2879ed60e5bb937db830ba7975d657b151cdc51bc9287fa663150f05c
Iron Cuirass	Iron_Cuirass.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/4ec6ad7e-514b-42f4-9333-b89599483101.png	1524199	e2f5163b4544b3fd52ba0d878427761ea9d9bb528b417d19484cf2f1e2b85ec8
Minor Health Potion	Minor_Health_Potion.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/5ee0dd09-3725-4f2e-b071-2457bba1a139.png	1257907	8f030ad08553b4aa09fa92c6f03649876c5694453b7ef93911094ccb7f8b7a96
Oil Lantern	Oil_Lantern.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/800aaf3a-fd57-4051-b194-342ad440f185.png	1419905	399cbe313faff528fbea71542d3ab40db94aaad56542d8b9373187de7de8257a
Uncommon Steel Longsword	Uncommon_Steel_Longsword.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/7b40fe28-2457-4d54-b23f-26517245cf38.png	1174258	14fa0738d687b3d65b3dced0e25274064f15f31e04554e02388326df18139b20
Rare Mithril Rapier	Rare_Mithril_Rapier.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/ed8a6a06-82fb-42a5-a965-8330177a240a.png	1281361	945433daf0ddf77c6cdc406163a59252505c342099bfeda9085276683a267b28
Epic Warden's Blade	Epic_Wardens_Blade.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/58410f5e-ddce-443c-85b2-77495a7e17c8.png	1246279	d83c0981cb1f0f5c403eeb368d9d629fe1f4cec7661bd4eb9e5bb64e3bb2788e
Uncommon Steel Zweihander	Uncommon_Steel_Zweihander.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/d3a530d1-9e88-4046-9a34-a438333b3e1a.png	1220214	0a1f828abe16d22adebeb3b3b1134975fb42897e66d36f0e2fee4c63f2d6394b
Rare Runed Claymore	Rare_Runed_Claymore.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/168b38d3-d6b4-47fa-90f7-6fb09a92e6fe.png	1405595	7d3f6ceeeeee0308a0c353b315803ca2b9a9138545edc6c46f800f7023d4a8c5
Epic Sovereign-Scarred Greatsword	Epic_Sovereign_Scarred_Greatsword.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/b4c4b1a1-b21f-4f29-8b0b-a02034fa2ec1.png	1206511	f5b776c0ce1bb599f746dfa6042ffaa959c62529c677fde99aa00b6c04247ad4
Uncommon Honed Dagger	Uncommon_Honed_Dagger.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/53c70d80-15bb-4f23-937c-beae15ed94cb.png	1333414	5e9ff73498b5c09739d396cdbe97b5d562f3b4eec413b2ffe566144a54358aed
Rare Silvered Fang	Rare_Silvered_Fang.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/302654d1-8b09-44bc-928b-a08a9b5844a3.png	1467785	07db00780716cd05e10bb104819c08d15c8fdf4a3309fea868ad4ee222f2451d
Epic Widow's Kiss	Epic_Widows_Kiss.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/fe372be5-3dfc-4a8a-bb81-f1507c3587be.png	1422799	67b4d34887c3d3baa45e796e0263cfb70eb232c9edcd528492b7a76dd1a7bc15
Uncommon Yew Longbow	Uncommon_Yew_Longbow.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/7a79c10d-f0a2-4fa4-84d0-43ce0bb6ebb3.png	1159807	3b6a517ee6566c4fae922275481799c7657454b03d6be1e1e68e7cb9882f9723
Rare Warden's Recurve	Rare_Wardens_Recurve.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/60db4fd5-5ab8-46fc-b2a9-d138dff7612f.png	1121865	837e46072bd0861ca85a5505cdf7d513a95e8d19f7c34273f55f560effd4d8b5
Epic Bloodwood Bow	Epic_Bloodwood_Bow.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/f04d36d9-976c-49be-a748-69d2b8bf2d64.png	1182495	af83c493fe689a69a172ba48b02f54ea94d41c5d9ba1f236d5ffb1cc33d0c254
Uncommon Ashwood Staff	Uncommon_Ashwood_Staff.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/704ec92f-3ff1-4f93-a46a-963e885dc2af.png	1240318	4c737659907faf40f31554325684d1a66699dd57a6a3afb61bac53a1c6afe868
Rare Warden's Wand	Rare_Wardens_Wand.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/938fa208-3337-4c18-b0cf-2fa8c807488f.png	1137275	dc0582ebd97c44b95c707d1e4a37ab9915398fcd78dad769f29a386c78ae554b
Epic Witchlight Scepter	Epic_Witchlight_Scepter.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/1423e972-fcea-4bdc-af94-3a6d7f4292be.png	1087104	1c7567d0affbe8aa225c77b25bc6e5eb2941fb3edb127cde58be7ae3819fa495
Uncommon Steel Kite Shield	Uncommon_Steel_Kite_Shield.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/553c7838-35c8-43dc-97c7-9476c7f63b5a.png	1695507	8ef80f2d7d1ec8988a0fdcb138abcbf942de9aefd080ab60c5303f6fdf2853ed
Rare Warden's Tower Shield	Rare_Wardens_Tower_Shield.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/6b8ea0ac-cd48-44d0-a6f1-9d9009c8a4da.png	1323859	22e1e04c0ab7f86e1c0744d7e07b310078b52156b991741618f2ddb57b7e9cb8
